Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths,Island_encoded,Cluster
3/17/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,2,-1,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.0,0.28,0.0,0.0,0.0,0.00%,200.00%,0.0,1.0,0,1
3/18/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,2,-1,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.0,0.28,0.0,0.0,0.0,0.00%,200.00%,1.0,1.0,0,1
3/19/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,2,-1,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.0,0.28,0.0,0.0,0.0,0.00%,200.00%,1.0,1.0,0,1
3/21/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,2,0,3,-1,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.0,0.55,0.0,0.0,0.0,0.00%,150.00%,0.0,1.0,0,1
3/22/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,2,0,3,-1,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.0,0.55,0.0,0.0,0.0,0.00%,150.00%,1.0,1.0,0,1
3/23/2020,ID-PA,Papua,0,0,0,0,2,1,2,-1,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,0.0,0.46,0.0,0.23,0.02,50.00%,100.00%,0.0,1.0,1,1
3/24/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,2,1,3,-2,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.0,0.55,0.0,0.28,0.03,50.00%,150.00%,1.0,0.0,0,1
3/24/2020,ID-PA,Papua,0,0,0,0,2,1,2,-1,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,0.0,0.46,0.0,0.23,0.02,50.00%,100.00%,1.0,1.0,1,1
3/25/2020,ID-PA,Papua,0,0,0,0,2,1,2,-1,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,0.0,0.46,0.0,0.23,0.02,50.00%,100.00%,1.0,1.0,1,1
3/26/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,3,2,3,-2,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.0,0.83,0.0,0.55,0.06,66.67%,100.00%,0.0,0.0,0,1
3/27/2020,ID-PA,Papua,0,0,0,0,6,1,2,3,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,0.0,1.38,0.0,0.23,0.02,16.67%,33.33%,0.0,1.0,1,1
3/28/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,4,2,3,-1,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.0,1.1,0.0,0.55,0.06,50.00%,75.00%,0.0,1.0,0,1
3/28/2020,ID-PA,Papua,0,0,0,0,6,1,2,3,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,0.0,1.38,0.0,0.23,0.02,16.67%,33.33%,1.0,1.0,1,1
3/28/2020,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,0.0,1.0,1,1
3/29/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,4,2,3,-1,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.0,1.1,0.0,0.55,0.06,50.00%,75.00%,1.0,1.0,0,1
